# File:  A1323.MFA_SSP_subsector_lftm_parameter.csv
# Title: paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)
# Units: NA
# Description:  paramter for lifetime function with historical and perspective lifetime iron&steel stock (subsectored & scenarioed) (scenario for 2060)(updated 2025-08-01)
# Column types: ccnnnn
# ----------
region,scenario,T_lft_scale,M_lft_scale,C_lft_scale,P_lft_scale
Central America and Caribbean,history,24.13333333,35.83333333,89.63333333,17.96666667
Central Asia,history,18.5,27.5,69,14
China,history,22.33333333,33.33333333,60,16.66666667
Colombia,history,20,30,75,15
EU-12,history,13.8,21,52.6,10.6
EU-15,history,23.76923077,35.38461538,84.61538462,17.69230769
Ukraine,history,16.75,25,69,12.75
Europe_Non_EU,history,23.5,35,81.25,17.5
European Free Trade Association,history,27,40,100,20
India,history,10,15,38,8
Indonesia,history,20,30,75,15
Japan,history,10,15,38,8
Mexico,history,20,30,50,15
Middle East,history,24.76470588,36.76470588,91.94117647,18.41176471
Pakistan,history,20,30,75,15
Russia,history,20,30,50,15
South Africa,history,20,30,75,15
South America_Northern,history,22.25,33.125,82.875,16.625
South America_Southern,history,27,40,100,20
South Asia,history,22.57142857,33.57142857,84,16.85714286
South Korea,history,18.5,27.5,69,14
Southeast Asia,history,23.54545455,35,92.09090909,17.54545455
Taiwan,history,13.3,20,50,10
USA,history,20,30,75,15
