# File: 1_F_steel_200R_F_5_6_finished_steel_production.csv
# Title: Finished steel production by IEDC region, 1900-2008
# Units: Gg
# Description: Finished steel production from steel forming to the finished steel market
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
488453,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1993,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488454,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1994,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488455,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1995,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488456,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1996,,,,,,0,Gg,yr,No uncertainty,,,,,,,
488457,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1997,,,,,,0.6808725,Gg,yr,No uncertainty,,,,,,,
488458,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1998,,,,,,0.3393225,Gg,yr,No uncertainty,,,,,,,
488459,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,1999,,,,,,0.105435,Gg,yr,No uncertainty,,,,,,,
488460,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2000,,,,,,0.028215,Gg,yr,No uncertainty,,,,,,,
488461,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2001,,,,,,0.02079,Gg,yr,No uncertainty,,,,,,,
488462,1_F_steel_200R_F_5_6_finished_steel_production,iron,finished steel,Steel forming,Afghanistan,Finished steel market,Afghanistan,2002,,,,,,0.071145,Gg,yr,No uncertainty,,,,,,,
