# File: 1_F_steel_200R_F_11_12_final_steel_consumption.csv
# Title: Final steel consumption by IEDC region, 1900-2008
# Units: Gg
# Description: Final steel consumption from the market for final products to the use phase
# Source: IEDC database (https://www.database.industrialecology.uni-freiburg.de/); Pauliuk et al. (2013), doi:10.1016/j.resconrec.2012.11.008
# Column types: ncccccccncccccncccccccccc
# ----------
id,dataset_name,aspect 1 : element,aspect 2 : commodity,aspect 3 : origin_process,aspect 4 : origin_region,aspect 5 : destination_process,aspect 6 : destination_region,aspect 7 : time,aspect 8 : ,aspect 9 : ,aspect 10 : ,aspect 11 : ,aspect 12 : ,value,unitcode,unitcode1,stats_array_1,stats_array_2,stats_array_3,stats_array_4,comment,reserve1,reserve2,reserve3
599819,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1961,,,,,,0.032159598,Gg,yr,No uncertainty,,,,,,,
599820,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1962,,,,,,8.716610034,Gg,yr,No uncertainty,,,,,,,
599821,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1963,,,,,,13.53000098,Gg,yr,No uncertainty,,,,,,,
599822,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1964,,,,,,15.52644077,Gg,yr,No uncertainty,,,,,,,
599823,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1965,,,,,,17.32907655,Gg,yr,No uncertainty,,,,,,,
599824,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1966,,,,,,11.06468163,Gg,yr,No uncertainty,,,,,,,
599825,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1967,,,,,,10.5379017,Gg,yr,No uncertainty,,,,,,,
599826,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1968,,,,,,8.777044105,Gg,yr,No uncertainty,,,,,,,
599827,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1969,,,,,,10.21448857,Gg,yr,No uncertainty,,,,,,,
599828,1_F_steel_200R_F_11_12_final_steel_consumption,iron,manufactured goods,Market for final products,Afghanistan,Use phase,Afghanistan,1970,,,,,,11.25067471,Gg,yr,No uncertainty,,,,,,,
